SampleID	Reads_raw	Reads_filtered	Quality_raw	Quality_filtered	Length_raw	Length_filtered	SD_raw	SD_filtered
147	50827	30892	11	12.1	1328.2	1428.4	382.9	55.1
148	31209	21017	11.1	12.1	1363.1	1431.2	348.8	53.6
149	34376	21606	10.9	12	1379.6	1439.1	410.9	56.2
150	174142	50000	21.1	22.4	1415.4	1491.4	286.9	30.1
151	150791	50000	21.7	22.3	1434.5	1490.3	244.7	30.3
152	144587	50000	21.4	22.1	1410	1486.6	285.8	29.9
153	137219	50000	22.2	22.7	1452	1494.8	226	26.3
154	143498	50000	21.6	22.6	1449.6	1493.5	241.4	29
155	128550	50000	21.4	22.3	1451.5	1492.8	219.8	29.8
156	113449	50000	21.7	22.7	1459.2	1492.5	225.4	28.5
157	109064	50000	21.4	22.4	1455.1	1488.3	242.5	29
158	144406	50000	22	22.5	1455.3	1494.5	319.6	27.1
159	156978	50000	21.6	22.2	1417.3	1486.6	268	29.5
160	157364	50000	21.9	22.4	1437.6	1495.2	251.5	25.5
161	133554	50000	22	22.4	1463.2	1497.4	232.2	26.4
162	189279	50000	22	22.5	1456.6	1495.2	247.8	28
163	115264	50000	22	22.4	1463.5	1490.7	205.5	31.9
164	168475	50000	21.4	22	1439.8	1492.2	245.7	35.4
165	152429	50000	22.1	22.6	1459.5	1494.5	399	28.1
166	136920	50000	21.6	22.3	1420.4	1480.9	245.8	29.7
167	123011	50000	22.3	22.6	1466.4	1497.1	222.8	26
168	131381	50000	22	22.5	1445.3	1500.1	240.2	26.7
169	157900	50000	21.9	22.4	1449.6	1493.3	220.8	27.8
170	155724	50000	22	22.5	1456.9	1495.1	249.8	27.6
171	1542335	50000	22.4	22.7	1447.4	1496.7	265.9	24.7
172	107106	50000	21.6	22.1	1418.8	1472.2	242.4	32.9
173	104649	50000	22	22.6	1449.3	1490.9	241.9	30.2
174	140180	50000	21.9	22.6	1435.2	1492	240.2	28.3
175	162480	50000	21.9	22.3	1463.5	1471.2	191.5	28
176	248838	50000	21.2	21.9	1372.9	1482.7	325.7	29.1
177	158859	50000	22.1	22.6	1447.2	1492.8	244.2	27.5
178	192947	50000	21.2	22.2	1376	1492.6	348	32.7
179	163619	50000	21.2	21.9	1409.9	1481.2	283.5	33.1
180	160866	50000	21.6	22.2	1427.7	1489.6	246	31.6
181	130044	50000	22.3	22.7	1469.9	1494.7	205	27.4
182	162501	50000	21.9	22.5	1431.5	1491.6	272.7	26.9
183	133716	50000	21.7	22.6	1463.9	1482.3	206.8	25.1
184	135524	50000	21.5	22.4	1456.1	1491.9	208.9	27.2
185	141645	50000	21.3	22.3	1438.9	1494.1	367.3	29.9
186	230890	50000	20.1	21.7	1297.9	1486.1	363.6	34.4
187	140093	50000	21.3	22.1	1475.1	1493.3	174.9	29.1
188	133446	50000	21.8	22.6	1465.8	1496.6	211.6	24.4
189	122357	50000	21.4	22.2	1487.6	1500.9	179.9	30.3
190	147991	50000	21.6	22.5	1458.7	1496.9	235.3	28.6
191	104994	50000	21.2	22.5	1411.1	1491	278.3	31.5
192	128397	50000	21.6	22.6	1474.2	1494	221.2	29.7
